#  Problem: Toro Problem #5 (Chapter 10.8)
#
#  Exact solution calculated using NUMERICA's HE-E1RPEXACT code.
#  (Chapter 4.9 of Toro's "Riemann Solvers and Numerical Methods
#  for Fluid Dynamics", 2nd edition).
#
#     Position         Density        Velocity        Pressure     Int. Energy
#
      0.000500        1.000000      -19.597450     1000.000000     2500.000244
      0.001500        1.000000      -19.597450     1000.000000     2500.000244
      0.002500        1.000000      -19.597450     1000.000000     2500.000244
      0.003500        1.000000      -19.597450     1000.000000     2500.000244
      0.004500        1.000000      -19.597450     1000.000000     2500.000244
      0.005500        1.000000      -19.597450     1000.000000     2500.000244
      0.006500        1.000000      -19.597450     1000.000000     2500.000244
      0.007500        1.000000      -19.597450     1000.000000     2500.000244
      0.008500        1.000000      -19.597450     1000.000000     2500.000244
      0.009500        1.000000      -19.597450     1000.000000     2500.000244
      0.010500        1.000000      -19.597450     1000.000000     2500.000244
      0.011500        1.000000      -19.597450     1000.000000     2500.000244
      0.012500        1.000000      -19.597450     1000.000000     2500.000244
      0.013500        1.000000      -19.597450     1000.000000     2500.000244
      0.014500        1.000000      -19.597450     1000.000000     2500.000244
      0.015500        1.000000      -19.597450     1000.000000     2500.000244
      0.016500        1.000000      -19.597450     1000.000000     2500.000244
      0.017500        1.000000      -19.597450     1000.000000     2500.000244
      0.018500        1.000000      -19.597450     1000.000000     2500.000244
      0.019500        1.000000      -19.597450     1000.000000     2500.000244
      0.020500        1.000000      -19.597450     1000.000000     2500.000244
      0.021500        1.000000      -19.597450     1000.000000     2500.000244
      0.022500        1.000000      -19.597450     1000.000000     2500.000244
      0.023500        1.000000      -19.597450     1000.000000     2500.000244
      0.024500        1.000000      -19.597450     1000.000000     2500.000244
      0.025500        1.000000      -19.597450     1000.000000     2500.000244
      0.026500        1.000000      -19.597450     1000.000000     2500.000244
      0.027500        1.000000      -19.597450     1000.000000     2500.000244
      0.028500        1.000000      -19.597450     1000.000000     2500.000244
      0.029500        1.000000      -19.597450     1000.000000     2500.000244
      0.030500        1.000000      -19.597450     1000.000000     2500.000244
      0.031500        1.000000      -19.597450     1000.000000     2500.000244
      0.032500        1.000000      -19.597450     1000.000000     2500.000244
      0.033500        1.000000      -19.597450     1000.000000     2500.000244
      0.034500        1.000000      -19.597450     1000.000000     2500.000244
      0.035500        1.000000      -19.597450     1000.000000     2500.000244
      0.036500        1.000000      -19.597450     1000.000000     2500.000244
      0.037500        1.000000      -19.597450     1000.000000     2500.000244
      0.038500        1.000000      -19.597450     1000.000000     2500.000244
      0.039500        1.000000      -19.597450     1000.000000     2500.000244
      0.040500        1.000000      -19.597450     1000.000000     2500.000244
      0.041500        1.000000      -19.597450     1000.000000     2500.000244
      0.042500        1.000000      -19.597450     1000.000000     2500.000244
      0.043500        1.000000      -19.597450     1000.000000     2500.000244
      0.044500        1.000000      -19.597450     1000.000000     2500.000244
      0.045500        1.000000      -19.597450     1000.000000     2500.000244
      0.046500        1.000000      -19.597450     1000.000000     2500.000244
      0.047500        1.000000      -19.597450     1000.000000     2500.000244
      0.048500        1.000000      -19.597450     1000.000000     2500.000244
      0.049500        1.000000      -19.597450     1000.000000     2500.000244
      0.050500        1.000000      -19.597450     1000.000000     2500.000244
      0.051500        1.000000      -19.597450     1000.000000     2500.000244
      0.052500        1.000000      -19.597450     1000.000000     2500.000244
      0.053500        1.000000      -19.597450     1000.000000     2500.000244
      0.054500        1.000000      -19.597450     1000.000000     2500.000244
      0.055500        1.000000      -19.597450     1000.000000     2500.000244
      0.056500        1.000000      -19.597450     1000.000000     2500.000244
      0.057500        1.000000      -19.597450     1000.000000     2500.000244
      0.058500        1.000000      -19.597450     1000.000000     2500.000244
      0.059500        1.000000      -19.597450     1000.000000     2500.000244
      0.060500        1.000000      -19.597450     1000.000000     2500.000244
      0.061500        1.000000      -19.597450     1000.000000     2500.000244
      0.062500        1.000000      -19.597450     1000.000000     2500.000244
      0.063500        1.000000      -19.597450     1000.000000     2500.000244
      0.064500        1.000000      -19.597450     1000.000000     2500.000244
      0.065500        1.000000      -19.597450     1000.000000     2500.000244
      0.066500        1.000000      -19.597450     1000.000000     2500.000244
      0.067500        1.000000      -19.597450     1000.000000     2500.000244
      0.068500        1.000000      -19.597450     1000.000000     2500.000244
      0.069500        1.000000      -19.597450     1000.000000     2500.000244
      0.070500        1.000000      -19.597450     1000.000000     2500.000244
      0.071500        1.000000      -19.597450     1000.000000     2500.000244
      0.072500        1.000000      -19.597450     1000.000000     2500.000244
      0.073500        1.000000      -19.597450     1000.000000     2500.000244
      0.074500        1.000000      -19.597450     1000.000000     2500.000244
      0.075500        1.000000      -19.597450     1000.000000     2500.000244
      0.076500        1.000000      -19.597450     1000.000000     2500.000244
      0.077500        1.000000      -19.597450     1000.000000     2500.000244
      0.078500        1.000000      -19.597450     1000.000000     2500.000244
      0.079500        1.000000      -19.597450     1000.000000     2500.000244
      0.080500        1.000000      -19.597450     1000.000000     2500.000244
      0.081500        1.000000      -19.597450     1000.000000     2500.000244
      0.082500        1.000000      -19.597450     1000.000000     2500.000244
      0.083500        1.000000      -19.597450     1000.000000     2500.000244
      0.084500        1.000000      -19.597450     1000.000000     2500.000244
      0.085500        1.000000      -19.597450     1000.000000     2500.000244
      0.086500        1.000000      -19.597450     1000.000000     2500.000244
      0.087500        1.000000      -19.597450     1000.000000     2500.000244
      0.088500        1.000000      -19.597450     1000.000000     2500.000244
      0.089500        1.000000      -19.597450     1000.000000     2500.000244
      0.090500        1.000000      -19.597450     1000.000000     2500.000244
      0.091500        1.000000      -19.597450     1000.000000     2500.000244
      0.092500        1.000000      -19.597450     1000.000000     2500.000244
      0.093500        1.000000      -19.597450     1000.000000     2500.000244
      0.094500        1.000000      -19.597450     1000.000000     2500.000244
      0.095500        1.000000      -19.597450     1000.000000     2500.000244
      0.096500        1.000000      -19.597450     1000.000000     2500.000244
      0.097500        1.000000      -19.597450     1000.000000     2500.000244
      0.098500        1.000000      -19.597450     1000.000000     2500.000244
      0.099500        1.000000      -19.597450     1000.000000     2500.000244
      0.100500        1.000000      -19.597450     1000.000000     2500.000244
      0.101500        1.000000      -19.597450     1000.000000     2500.000244
      0.102500        1.000000      -19.597450     1000.000000     2500.000244
      0.103500        1.000000      -19.597450     1000.000000     2500.000244
      0.104500        1.000000      -19.597450     1000.000000     2500.000244
      0.105500        1.000000      -19.597450     1000.000000     2500.000244
      0.106500        1.000000      -19.597450     1000.000000     2500.000244
      0.107500        1.000000      -19.597450     1000.000000     2500.000244
      0.108500        1.000000      -19.597450     1000.000000     2500.000244
      0.109500        1.000000      -19.597450     1000.000000     2500.000244
      0.110500        1.000000      -19.597450     1000.000000     2500.000244
